Drug1,Drug2,Cell line,ZIP,classification
Dexrazoxane,Methotrexate,NCIH23_LUNG,-11.83,antagonism
Dexrazoxane,Methotrexate,NCIH460_LUNG,-6.53,antagonism
Dexrazoxane,Methotrexate,NCIH522_LUNG,-6.39,antagonism
Dexrazoxane,Methotrexate,OVCAR8_OVARY,-6.07,antagonism
Dexrazoxane,Methotrexate,SF295_CENTRAL_NERVOUS_SYSTEM,-6.97,antagonism
Dexrazoxane,Methotrexate,SF539_CENTRAL_NERVOUS_SYSTEM,-9.76,antagonism
Dexrazoxane,Methotrexate,SKMEL5_SKIN,-10.66,antagonism
Dexrazoxane,Methotrexate,SKOV3_OVARY,-5.63,antagonism
Dexrazoxane,Methotrexate,SNB75_CENTRAL_NERVOUS_SYSTEM,-7.61,antagonism
Dexrazoxane,Methotrexate,SW620_LARGE_INTESTINE,-8,antagonism
Dexrazoxane,Methotrexate,U251MG_CENTRAL_NERVOUS_SYSTEM,-7.82,antagonism
Dexrazoxane,Methotrexate,UACC62_SKIN,-7.9,antagonism
Dexrazoxane,Methotrexate,UO31_KIDNEY,-8.49,antagonism
Dexrazoxane,Methoxsalen,ACHN_KIDNEY,-10.3,antagonism
Dexrazoxane,Methoxsalen,CAKI1_KIDNEY,5.75,synergy
Dexrazoxane,Methoxsalen,DU145_PROSTATE,-6.41,antagonism
Dexrazoxane,Methoxsalen,HCT15_LARGE_INTESTINE,-8.94,antagonism
Dexrazoxane,Methoxsalen,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,10.82,synergy
Dexrazoxane,Methoxsalen,KM12_LARGE_INTESTINE,8.46,synergy
Dexrazoxane,Methoxsalen,MDAMB231_BREAST,-5.39,antagonism
Dexrazoxane,Methoxsalen,MDAMB468_BREAST,-6.87,antagonism
Dexrazoxane,Methoxsalen,NCIH23_LUNG,-6.14,antagonism
Dexrazoxane,Methoxsalen,SF295_CENTRAL_NERVOUS_SYSTEM,-8.42,antagonism
Dexrazoxane,Methoxsalen,SKMEL5_SKIN,-6.06,antagonism
Dexrazoxane,Mitotane,A498_KIDNEY,-5.56,antagonism
Dexrazoxane,Mitotane,ACHN_KIDNEY,-11,antagonism
Dexrazoxane,Mitotane,CAKI1_KIDNEY,11.21,synergy
Dexrazoxane,Mitotane,HCT15_LARGE_INTESTINE,-5.26,antagonism
Dexrazoxane,Mitotane,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,13.45,synergy
Dexrazoxane,Mitotane,HOP62_LUNG,-6.14,antagonism
Dexrazoxane,Mitotane,HT29_LARGE_INTESTINE,8.72,synergy
Dexrazoxane,Mitotane,IGROV1_OVARY,-5.29,antagonism
Dexrazoxane,Mitotane,LOXIMVI_SKIN,-7.86,antagonism
Dexrazoxane,Mitotane,MDAMB231_BREAST,-5.64,antagonism
Dexrazoxane,Mitotane,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,6.73,synergy
Dexrazoxane,Mitotane,SF295_CENTRAL_NERVOUS_SYSTEM,-7.89,antagonism
Dexrazoxane,Mitotane,SKMEL5_SKIN,-5.48,antagonism
Dexrazoxane,Paclitaxel,786O_KIDNEY,-12.76,antagonism
Dexrazoxane,Paclitaxel,A498_KIDNEY,-7.67,antagonism
Dexrazoxane,Paclitaxel,A549_LUNG,-11.98,antagonism
Dexrazoxane,Paclitaxel,ACHN_KIDNEY,-13.25,antagonism
Dexrazoxane,Paclitaxel,BT549_BREAST,-6.8,antagonism
Dexrazoxane,Paclitaxel,CAKI1_KIDNEY,-12.06,antagonism
Dexrazoxane,Paclitaxel,DU145_PROSTATE,-12.57,antagonism
Dexrazoxane,Paclitaxel,EKVX_LUNG,-9.54,antagonism
Dexrazoxane,Paclitaxel,HCT116_LARGE_INTESTINE,-7.86,antagonism
Dexrazoxane,Paclitaxel,HCT15_LARGE_INTESTINE,-7.17,antagonism
Dexrazoxane,Paclitaxel,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-11.24,antagonism
Dexrazoxane,Paclitaxel,HOP92_LUNG,-11.3,antagonism
Dexrazoxane,Paclitaxel,HS578T_BREAST,-7.89,antagonism
Dexrazoxane,Paclitaxel,HT29_LARGE_INTESTINE,-13.62,antagonism
Dexrazoxane,Paclitaxel,IGROV1_OVARY,-12.66,antagonism
Dexrazoxane,Paclitaxel,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-6.84,antagonism
Dexrazoxane,Paclitaxel,LOXIMVI_SKIN,-12.93,antagonism
Dexrazoxane,Paclitaxel,MALME3M_SKIN,-8.26,antagonism
Dexrazoxane,Paclitaxel,MCF7_BREAST,-6.35,antagonism
Dexrazoxane,Paclitaxel,MDAMB231_BREAST,-15.49,antagonism
Dexrazoxane,Paclitaxel,MDAMB435S_SKIN,-5.23,antagonism
Dexrazoxane,Paclitaxel,MDAMB468_BREAST,-10.95,antagonism
Dexrazoxane,Paclitaxel,NCIH226_LUNG,-5.04,antagonism
Dexrazoxane,Paclitaxel,NCIH522_LUNG,-5.34,antagonism
Dexrazoxane,Paclitaxel,OVCAR4_OVARY,-11.85,antagonism
Dexrazoxane,Paclitaxel,PC3_PROSTATE,-7.8,antagonism
Dexrazoxane,Paclitaxel,SF295_CENTRAL_NERVOUS_SYSTEM,-10.32,antagonism
Dexrazoxane,Paclitaxel,SKMEL5_SKIN,-6.39,antagonism
Dexrazoxane,Paclitaxel,SKOV3_OVARY,-6.05,antagonism
Dexrazoxane,Paclitaxel,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-7.17,antagonism
Dexrazoxane,Paclitaxel,T47D_BREAST,-6.92,antagonism
Dexrazoxane,Paclitaxel,U251MG_CENTRAL_NERVOUS_SYSTEM,-9.94,antagonism
Dexrazoxane,Paclitaxel,UACC257_SKIN,-10.48,antagonism
Dexrazoxane,Paclitaxel,UACC62_SKIN,-14.86,antagonism
Dexrazoxane,Paclitaxel,UO31_KIDNEY,-6.54,antagonism
Dexrazoxane,Pentostatin,786O_KIDNEY,-5.55,antagonism
Dexrazoxane,Pentostatin,ACHN_KIDNEY,-8.45,antagonism
Dexrazoxane,Pentostatin,CAKI1_KIDNEY,-7.61,antagonism
Dexrazoxane,Pentostatin,DU145_PROSTATE,-6.19,antagonism
Dexrazoxane,Pentostatin,HCT15_LARGE_INTESTINE,-5.37,antagonism
Dexrazoxane,Pentostatin,HOP62_LUNG,-5.81,antagonism
Dexrazoxane,Pentostatin,HT29_LARGE_INTESTINE,-6.86,antagonism
Dexrazoxane,Pentostatin,IGROV1_OVARY,-5.14,antagonism
Dexrazoxane,Pentostatin,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-6.09,antagonism
Dexrazoxane,Pentostatin,KM12_LARGE_INTESTINE,-5.27,antagonism
Dexrazoxane,Pentostatin,LOXIMVI_SKIN,-9.48,antagonism
Dexrazoxane,Pentostatin,MCF7_BREAST,-7.14,antagonism
Dexrazoxane,Pentostatin,MDAMB231_BREAST,-5.98,antagonism
Dexrazoxane,Pentostatin,MDAMB468_BREAST,-7.06,antagonism
Dexrazoxane,Pentostatin,NCIH23_LUNG,-6.6,antagonism
Dexrazoxane,Pentostatin,PC3_PROSTATE,-5.44,antagonism
Dexrazoxane,Pentostatin,SF295_CENTRAL_NERVOUS_SYSTEM,-8.25,antagonism
Dexrazoxane,Pentostatin,SF539_CENTRAL_NERVOUS_SYSTEM,-5.01,antagonism
Dexrazoxane,Pentostatin,SW620_LARGE_INTESTINE,-9.34,antagonism
Dexrazoxane,Pentostatin,U251MG_CENTRAL_NERVOUS_SYSTEM,-8.08,antagonism
Dexrazoxane,Pentostatin,UACC62_SKIN,-5.01,antagonism
Dexrazoxane,Pentostatin,UO31_KIDNEY,-6.37,antagonism
Dexrazoxane,Pipobroman,786O_KIDNEY,-6.66,antagonism
Dexrazoxane,Pipobroman,A498_KIDNEY,-5.06,antagonism
Dexrazoxane,Pipobroman,A549_LUNG,-6.87,antagonism
Dexrazoxane,Pipobroman,CAKI1_KIDNEY,-10.16,antagonism
Dexrazoxane,Pipobroman,DU145_PROSTATE,-9.49,antagonism
Dexrazoxane,Pipobroman,HCT116_LARGE_INTESTINE,-7.06,antagonism
Dexrazoxane,Pipobroman,HCT15_LARGE_INTESTINE,-10.12,antagonism
Dexrazoxane,Pipobroman,HOP62_LUNG,-7.07,antagonism
Dexrazoxane,Pipobroman,HOP92_LUNG,-7.21,antagonism
Dexrazoxane,Pipobroman,IGROV1_OVARY,-11.06,antagonism
Dexrazoxane,Pipobroman,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-10.31,antagonism
Dexrazoxane,Pipobroman,KM12_LARGE_INTESTINE,-7,antagonism
Dexrazoxane,Pipobroman,LOXIMVI_SKIN,-10.43,antagonism
Dexrazoxane,Pipobroman,MDAMB468_BREAST,-9.66,antagonism
Dexrazoxane,Pipobroman,NCIH2122_LUNG,-7.69,antagonism
Dexrazoxane,Pipobroman,NCIH226_LUNG,-5.49,antagonism
Dexrazoxane,Pipobroman,NCIH23_LUNG,-10.14,antagonism
Dexrazoxane,Pipobroman,NCIH522_LUNG,-5.55,antagonism
Dexrazoxane,Pipobroman,OVCAR8_OVARY,-8.87,antagonism
Dexrazoxane,Pipobroman,SF295_CENTRAL_NERVOUS_SYSTEM,-8.89,antagonism
Dexrazoxane,Pipobroman,SKMEL5_SKIN,-6.14,antagonism
Dexrazoxane,Pipobroman,SW620_LARGE_INTESTINE,-9.34,antagonism
Dexrazoxane,Pipobroman,U251MG_CENTRAL_NERVOUS_SYSTEM,-11.2,antagonism
Dexrazoxane,Pipobroman,UACC62_SKIN,-9.16,antagonism
Dexrazoxane,Sorafenib,786O_KIDNEY,-8.73,antagonism
Dexrazoxane,Sorafenib,A498_KIDNEY,-11.08,antagonism
Dexrazoxane,Sorafenib,ACHN_KIDNEY,-7.4,antagonism
Dexrazoxane,Sorafenib,BT549_BREAST,-7.46,antagonism
Dexrazoxane,Sorafenib,CAKI1_KIDNEY,-16.53,antagonism
Dexrazoxane,Sorafenib,EKVX_LUNG,-7.13,antagonism
Dexrazoxane,Sorafenib,HCT116_LARGE_INTESTINE,-6.5,antagonism
Dexrazoxane,Sorafenib,HCT15_LARGE_INTESTINE,-8.77,antagonism
Dexrazoxane,Sorafenib,HOP92_LUNG,-11.17,antagonism
Dexrazoxane,Sorafenib,HT29_LARGE_INTESTINE,-5.69,antagonism
Dexrazoxane,Sorafenib,IGROV1_OVARY,-10.31,antagonism
Dexrazoxane,Sorafenib,KM12_LARGE_INTESTINE,-6.65,antagonism
Dexrazoxane,Sorafenib,MALME3M_SKIN,-6.44,antagonism
Dexrazoxane,Sorafenib,MCF7_BREAST,-7.84,antagonism
Dexrazoxane,Sorafenib,NCIH2122_LUNG,-7.52,antagonism
Dexrazoxane,Sorafenib,NCIH226_LUNG,-12.25,antagonism
Dexrazoxane,Sorafenib,NCIH23_LUNG,-7.13,antagonism
Dexrazoxane,Sorafenib,NCIH522_LUNG,-6.98,antagonism
Dexrazoxane,Sorafenib,OVCAR4_OVARY,-9.43,antagonism
Dexrazoxane,Sorafenib,OVCAR8_OVARY,-7.32,antagonism
Dexrazoxane,Sorafenib,PC3_PROSTATE,-9.39,antagonism
Dexrazoxane,Sorafenib,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-9.7,antagonism
Dexrazoxane,Sorafenib,SF295_CENTRAL_NERVOUS_SYSTEM,-7.24,antagonism
Dexrazoxane,Sorafenib,SF539_CENTRAL_NERVOUS_SYSTEM,-9.59,antagonism
Dexrazoxane,Sorafenib,SKMEL28_SKIN,-8.08,antagonism
Dexrazoxane,Sorafenib,SKOV3_OVARY,-9.86,antagonism
Dexrazoxane,Sorafenib,SW620_LARGE_INTESTINE,-7.45,antagonism
Dexrazoxane,Sorafenib,U251MG_CENTRAL_NERVOUS_SYSTEM,-6.91,antagonism
Dexrazoxane,Sorafenib,UO31_KIDNEY,-14.98,antagonism
Dexrazoxane,Temozolomide,786O_KIDNEY,-5.08,antagonism
Dexrazoxane,Temozolomide,IGROV1_OVARY,-5.4,antagonism
Dexrazoxane,Temozolomide,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,7.24,synergy
Dexrazoxane,Temozolomide,KM12_LARGE_INTESTINE,-7,antagonism
Dexrazoxane,Temozolomide,LOXIMVI_SKIN,-8.6,antagonism
Dexrazoxane,Temozolomide,MDAMB231_BREAST,-5.72,antagonism
Dexrazoxane,Temozolomide,NCIH23_LUNG,-5.19,antagonism
Dexrazoxane,Temozolomide,SF295_CENTRAL_NERVOUS_SYSTEM,-8.12,antagonism
Dexrazoxane,Temozolomide,SW620_LARGE_INTESTINE,-10.99,antagonism
Dexrazoxane,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,-8.83,antagonism
Dexrazoxane,Temozolomide,U251MG_CENTRAL_NERVOUS_SYSTEM,-6.43,antagonism
Dexrazoxane,Teniposide,ACHN_KIDNEY,7.12,synergy
Dexrazoxane,Teniposide,DU145_PROSTATE,-5.29,antagonism
Dexrazoxane,Teniposide,EKVX_LUNG,-5.25,antagonism
Dexrazoxane,Teniposide,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17.76,synergy
Dexrazoxane,Teniposide,HS578T_BREAST,5.08,synergy
Dexrazoxane,Teniposide,HT29_LARGE_INTESTINE,-16.14,antagonism
Dexrazoxane,Teniposide,MDAMB468_BREAST,5.9,synergy
Dexrazoxane,Teniposide,OVCAR8_OVARY,5.61,synergy
Dexrazoxane,Teniposide,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-5.28,antagonism
Dexrazoxane,Teniposide,SKMEL28_SKIN,-7.79,antagonism
Dexrazoxane,Teniposide,SNB75_CENTRAL_NERVOUS_SYSTEM,7.09,synergy
Dexrazoxane,Teniposide,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,14.52,synergy
Dexrazoxane,Teniposide,UO31_KIDNEY,-5.97,antagonism
Dexrazoxane,Thalidomide,A498_KIDNEY,-5.99,antagonism
Dexrazoxane,Thalidomide,CAKI1_KIDNEY,13.15,synergy
Dexrazoxane,Thalidomide,DU145_PROSTATE,-6.44,antagonism
Dexrazoxane,Thalidomide,EKVX_LUNG,15.56,synergy
Dexrazoxane,Thalidomide,HCT116_LARGE_INTESTINE,9.61,synergy
Dexrazoxane,Thalidomide,HCT15_LARGE_INTESTINE,-9.4,antagonism
Dexrazoxane,Thalidomide,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,14.17,synergy
Dexrazoxane,Thalidomide,HOP62_LUNG,-5.22,antagonism
Dexrazoxane,Thalidomide,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-5.59,antagonism
Dexrazoxane,Thalidomide,KM12_LARGE_INTESTINE,9.83,synergy
Dexrazoxane,Thalidomide,LOXIMVI_SKIN,-7.1,antagonism
Dexrazoxane,Thalidomide,MCF7_BREAST,-6.26,antagonism
Dexrazoxane,Thalidomide,MDAMB231_BREAST,-5.3,antagonism
Dexrazoxane,Thalidomide,MDAMB468_BREAST,-5.89,antagonism
Dexrazoxane,Thalidomide,PC3_PROSTATE,-6.02,antagonism
Dexrazoxane,Thalidomide,SKMEL5_SKIN,-5.64,antagonism
Dexrazoxane,Thalidomide,UACC62_SKIN,6.16,synergy
Dexrazoxane,ThioTEPA,786O_KIDNEY,-5.83,antagonism
Dexrazoxane,ThioTEPA,A498_KIDNEY,-5.07,antagonism
Dexrazoxane,ThioTEPA,A549_LUNG,-6.31,antagonism
Dexrazoxane,ThioTEPA,BT549_BREAST,-6.26,antagonism
Dexrazoxane,ThioTEPA,CAKI1_KIDNEY,-9.83,antagonism
Dexrazoxane,ThioTEPA,DU145_PROSTATE,-13.02,antagonism
Dexrazoxane,ThioTEPA,HCT116_LARGE_INTESTINE,-5.91,antagonism
Dexrazoxane,ThioTEPA,HOP62_LUNG,-9.6,antagonism
Dexrazoxane,ThioTEPA,HOP92_LUNG,-6.26,antagonism
Dexrazoxane,ThioTEPA,HT29_LARGE_INTESTINE,-8.33,antagonism
Dexrazoxane,ThioTEPA,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-12.46,antagonism
Dexrazoxane,ThioTEPA,LOXIMVI_SKIN,-13.58,antagonism
Dexrazoxane,ThioTEPA,MDAMB231_BREAST,-8.57,antagonism
Dexrazoxane,ThioTEPA,MDAMB468_BREAST,-10.75,antagonism
Dexrazoxane,ThioTEPA,NCIH23_LUNG,-6.19,antagonism
Dexrazoxane,ThioTEPA,NCIH522_LUNG,-5.33,antagonism
Dexrazoxane,ThioTEPA,PC3_PROSTATE,-6.43,antagonism
Dexrazoxane,ThioTEPA,SF295_CENTRAL_NERVOUS_SYSTEM,-12.96,antagonism
Dexrazoxane,ThioTEPA,SF539_CENTRAL_NERVOUS_SYSTEM,-7.79,antagonism
Dexrazoxane,ThioTEPA,SKMEL5_SKIN,-8.72,antagonism
Dexrazoxane,ThioTEPA,U251MG_CENTRAL_NERVOUS_SYSTEM,-11.08,antagonism
Dexrazoxane,ThioTEPA,UACC62_SKIN,-6.79,antagonism
Dexrazoxane,ThioTEPA,UO31_KIDNEY,-5.91,antagonism
Dexrazoxane,Tioguanine,A498_KIDNEY,-9.23,antagonism
Dexrazoxane,Tioguanine,ACHN_KIDNEY,-5.32,antagonism
Dexrazoxane,Tioguanine,BT549_BREAST,-9.63,antagonism
Dexrazoxane,Tioguanine,CAKI1_KIDNEY,-10.27,antagonism
Dexrazoxane,Tioguanine,DU145_PROSTATE,-7.5,antagonism
Dexrazoxane,Tioguanine,EKVX_LUNG,-8.13,antagonism
Dexrazoxane,Tioguanine,HCT116_LARGE_INTESTINE,-7.3,antagonism
Dexrazoxane,Tioguanine,HCT15_LARGE_INTESTINE,-7.8,antagonism
Dexrazoxane,Tioguanine,HOP92_LUNG,-7.85,antagonism
Dexrazoxane,Tioguanine,HS578T_BREAST,-6.9,antagonism
Dexrazoxane,Tioguanine,HT29_LARGE_INTESTINE,8.15,synergy
Dexrazoxane,Tioguanine,IGROV1_OVARY,-9.06,antagonism
Dexrazoxane,Tioguanine,KM12_LARGE_INTESTINE,-8.35,antagonism
Dexrazoxane,Tioguanine,LOXIMVI_SKIN,-5.47,antagonism
Dexrazoxane,Tioguanine,MALME3M_SKIN,-12.13,antagonism
Dexrazoxane,Tioguanine,MCF7_BREAST,-7.59,antagonism
Dexrazoxane,Tioguanine,MDAMB231_BREAST,-13.17,antagonism
Dexrazoxane,Tioguanine,MDAMB435S_SKIN,-5.94,antagonism
Dexrazoxane,Tioguanine,NCIH2122_LUNG,-11.32,antagonism
Dexrazoxane,Tioguanine,NCIH226_LUNG,-9.89,antagonism
Dexrazoxane,Tioguanine,NCIH460_LUNG,-8.56,antagonism
Dexrazoxane,Tioguanine,NCIH522_LUNG,-8.26,antagonism
Dexrazoxane,Tioguanine,OVCAR4_OVARY,-13.16,antagonism
Dexrazoxane,Tioguanine,SF539_CENTRAL_NERVOUS_SYSTEM,-7.34,antagonism
Dexrazoxane,Tioguanine,SKMEL28_SKIN,-6.38,antagonism
Dexrazoxane,Tioguanine,SKMEL5_SKIN,-8.01,antagonism
Dexrazoxane,Tioguanine,SKOV3_OVARY,-7.08,antagonism
Dexrazoxane,Tioguanine,SNB75_CENTRAL_NERVOUS_SYSTEM,-7.79,antagonism
Dexrazoxane,Tioguanine,SW620_LARGE_INTESTINE,-9.46,antagonism
Dexrazoxane,Tioguanine,T47D_BREAST,-8.61,antagonism
Dexrazoxane,Tioguanine,U251MG_CENTRAL_NERVOUS_SYSTEM,-6.44,antagonism
Dexrazoxane,Tioguanine,UACC257_SKIN,-8.16,antagonism
Dexrazoxane,Tioguanine,UACC62_SKIN,-9.07,antagonism
Dexrazoxane,Tioguanine,UO31_KIDNEY,-9.77,antagonism
Dexrazoxane,Tretinoin,A498_KIDNEY,-8,antagonism
Dexrazoxane,Tretinoin,A549_LUNG,-5.81,antagonism
Dexrazoxane,Tretinoin,ACHN_KIDNEY,-8.88,antagonism
Dexrazoxane,Tretinoin,CAKI1_KIDNEY,-8.93,antagonism
Dexrazoxane,Tretinoin,DU145_PROSTATE,-7.14,antagonism
Dexrazoxane,Tretinoin,HCT15_LARGE_INTESTINE,-5.05,antagonism
Dexrazoxane,Tretinoin,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-13.05,antagonism
Dexrazoxane,Tretinoin,HOP62_LUNG,-6.14,antagonism
Dexrazoxane,Tretinoin,HOP92_LUNG,-6.42,antagonism
Dexrazoxane,Tretinoin,HS578T_BREAST,-7.61,antagonism
Dexrazoxane,Tretinoin,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-12.54,antagonism
Dexrazoxane,Tretinoin,LOXIMVI_SKIN,-9.35,antagonism
Dexrazoxane,Tretinoin,MCF7_BREAST,-9.88,antagonism
Dexrazoxane,Tretinoin,MDAMB468_BREAST,-7.78,antagonism
Dexrazoxane,Tretinoin,NCIH522_LUNG,-5.94,antagonism
Dexrazoxane,Tretinoin,PC3_PROSTATE,-5.82,antagonism
Dexrazoxane,Tretinoin,SF295_CENTRAL_NERVOUS_SYSTEM,-8.8,antagonism
Dexrazoxane,Tretinoin,SKOV3_OVARY,6.31,synergy
Dexrazoxane,Tretinoin,UACC62_SKIN,-7.25,antagonism
Dexrazoxane,Tretinoin,UO31_KIDNEY,-5.42,antagonism
Dexrazoxane,Valrubicin,A498_KIDNEY,-7.82,antagonism
Dexrazoxane,Valrubicin,ACHN_KIDNEY,-8.12,antagonism
Dexrazoxane,Valrubicin,CAKI1_KIDNEY,-5.87,antagonism
Dexrazoxane,Valrubicin,DU145_PROSTATE,-7.57,antagonism
Dexrazoxane,Valrubicin,HOP62_LUNG,-5.88,antagonism
Dexrazoxane,Valrubicin,HOP92_LUNG,-5.88,antagonism
Dexrazoxane,Valrubicin,HT29_LARGE_INTESTINE,-10.09,antagonism
Dexrazoxane,Valrubicin,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-6.14,antagonism
Dexrazoxane,Valrubicin,LOXIMVI_SKIN,-7.81,antagonism
Dexrazoxane,Valrubicin,MCF7_BREAST,-7.28,antagonism
Dexrazoxane,Valrubicin,MDAMB231_BREAST,-5.35,antagonism
Dexrazoxane,Valrubicin,MDAMB468_BREAST,-7.47,antagonism
Dexrazoxane,Valrubicin,NCIH2122_LUNG,-5.34,antagonism
Dexrazoxane,Valrubicin,PC3_PROSTATE,-5.84,antagonism
Dexrazoxane,Valrubicin,SF295_CENTRAL_NERVOUS_SYSTEM,-9,antagonism
Dexrazoxane,Valrubicin,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-5.69,antagonism
Dexrazoxane,Valrubicin,SW620_LARGE_INTESTINE,-9.55,antagonism
Dexrazoxane,Valrubicin,U251MG_CENTRAL_NERVOUS_SYSTEM,-9.44,antagonism
Dexrazoxane,Valrubicin,UACC62_SKIN,-5.42,antagonism
Dexrazoxane,Valrubicin,UO31_KIDNEY,-6.77,antagonism
Dexrazoxane,Vemurafenib,786O_KIDNEY,-5.59,antagonism
Dexrazoxane,Vemurafenib,A498_KIDNEY,-5.14,antagonism
Dexrazoxane,Vemurafenib,ACHN_KIDNEY,-9.62,antagonism
Dexrazoxane,Vemurafenib,CAKI1_KIDNEY,-10.06,antagonism
Dexrazoxane,Vemurafenib,DU145_PROSTATE,-5.34,antagonism
Dexrazoxane,Vemurafenib,HCT15_LARGE_INTESTINE,-8.8,antagonism
Dexrazoxane,Vemurafenib,IGROV1_OVARY,-5.72,antagonism
Dexrazoxane,Vemurafenib,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-6.79,antagonism
Dexrazoxane,Vemurafenib,LOXIMVI_SKIN,-11.12,antagonism
Dexrazoxane,Vemurafenib,MDAMB468_BREAST,-6.07,antagonism
Dexrazoxane,Vemurafenib,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-7.24,antagonism
Dexrazoxane,Vemurafenib,SF295_CENTRAL_NERVOUS_SYSTEM,-5.83,antagonism
Dexrazoxane,Vemurafenib,U251MG_CENTRAL_NERVOUS_SYSTEM,-6.36,antagonism
Dexrazoxane,Vemurafenib,UACC62_SKIN,-7.39,antagonism
Dexrazoxane,Vemurafenib,UO31_KIDNEY,-5.43,antagonism
Diclofenamide,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,-21.97,antagonism
Diethylstilbestrol,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,13.06,synergy
Dipyridamole,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,25.84,synergy
Disulfiram,Bortezomib,L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,10.4,synergy
Disulfiram,CUDC-907,L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,70.12,synergy
Domperidone,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,14.57,synergy
Doramapimod,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,11.16,synergy
Dovitinib,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,40.2,synergy
Duvelisib,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,17.17,synergy
Dydrogesterone,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,10.77,synergy
ENTACAPONE,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,15.29,synergy
Enoxacin,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,21.04,synergy
Entinostat,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,7.45,synergy
Enzalutamide,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,24.84,synergy
Epalrestat,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,22.12,synergy
Erlotinib,BEZ-235,A2058_SKIN,8.02,synergy
Erlotinib,BEZ-235,A2780_OVARY,14.8975,synergy
Erlotinib,BEZ-235,A375_SKIN,7.6025,synergy
Erlotinib,BEZ-235,A427_LUNG,5.32,synergy
Erlotinib,BEZ-235,CAOV3_OVARY,6.695,synergy
Erlotinib,BEZ-235,COLO320_LARGE_INTESTINE,8.773333333333333,synergy
Erlotinib,BEZ-235,EFM192A_BREAST,8.105,synergy
Erlotinib,BEZ-235,ES2_OVARY,8.355,synergy
Erlotinib,BEZ-235,HCT116_LARGE_INTESTINE,5.696666666666666,synergy
Erlotinib,BEZ-235,HT29_LARGE_INTESTINE,9.98,synergy
Erlotinib,BEZ-235,KPL1_BREAST,5.826666666666667,synergy
Erlotinib,BEZ-235,LNCAPCLONEFGC_PROSTATE,7.725,synergy
Erlotinib,BEZ-235,NCIH1650_LUNG,-5.57,antagonism
Erlotinib,BEZ-235,NCIH23_LUNG,5.68,synergy
Erlotinib,BEZ-235,NCIH520_LUNG,14.1725,synergy
Erlotinib,BEZ-235,OV90_OVARY,5.18,synergy
Erlotinib,BEZ-235,RPMI7951_SKIN,9.925,synergy
Erlotinib,BEZ-235,SF268_CENTRAL_NERVOUS_SYSTEM,9.695,synergy
Erlotinib,BEZ-235,SKMEL30_SKIN,9.2325,synergy
Erlotinib,BEZ-235,SKOV3_OVARY,8.773333333333333,synergy
Erlotinib,BEZ-235,SW620_LARGE_INTESTINE,9.5375,synergy
Erlotinib,BEZ-235,SW837_LARGE_INTESTINE,8.46,synergy
Erlotinib,BEZ-235,T47D_BREAST,10.8175,synergy
Erlotinib,BEZ-235,UACC62_SKIN,6.245,synergy
Erlotinib,BEZ-235,VCAP_PROSTATE,6.22,synergy
Erlotinib,BEZ-235,ZR751_BREAST,5.54,synergy
Erlotinib,Bortezomib,A427_LUNG,-5.35,antagonism
